Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
NA20287	False	False	3	1	0	3.897	4.07	1	AFR
HG02595	False	False	3	1	0	4.129	3.847	1	AFR
HG03578	False	False	4	0	0	3.848	3.998	0	AFR
HG03100	False	False	2	2	0	3.975	4.116	0	AFR
HG02635	False	False	3	1	0	3.853	3.906	1	AFR
NA19443	False	False	2	2	0	3.976	4.143	0	AFR
HG03514	False	False	3	0	0	3.012	2.923	1	AFR
NA20278	False	False	3	0	1	3.892	3.124	1	AFR
HG02610	False	False	2	2	0	4.151	3.948	0	AFR
HG03291	False	False	3	1	0	3.964	3.851	1	AFR
HG03452	False	False	2	2	0	3.852	4.162	1	AFR
NA19472	False	False	2	2	0	3.891	3.95	0	AFR
HG03294	False	False	2	1	0	2.992	3.091	1	AFR
NA19129	False	False	4	1	0	4.863	4.854	1	AFR
HG03301	False	False	3	0	0	2.976	2.9	1	AFR
NA19137	False	False	2	1	0	2.908	2.986	2	AFR
NA19471	False	False	4	0	0	4.054	4.024	2	AFR
HG02953	False	False	3	1	0	3.913	4.018	0	AFR
NA19916	False	False	4	0	0	3.824	3.824	2	AFR
HG02433	False	False	2	2	0	3.9	3.956	0	AFR
HG02621	False	False	3	0	0	2.927	3.199	2	AFR
HG03295	False	False	3	1	0	4.066	3.762	0	AFR
HG03124	False	False	3	2	0	5.044	5.253	1	AFR
NA19466	False	False	4	0	0	4.014	3.926	3	AFR
HG02970	False	False	2	1	0	2.958	2.984	2	AFR
HG02620	False	False	3	1	0	4.007	3.806	2	AFR
HG02623	False	False	3	1	0	3.89	3.798	1	AFR
HG03300	False	False	2	1	0	2.933	3.01	1	AFR
HG02613	False	False	2	2	0	3.993	4.086	0	AFR
HG02971	False	False	3	1	0	3.903	4.031	1	AFR
HG02628	False	False	3	1	0	3.891	3.947	1	AFR
NA19473	False	False	3	1	0	3.946	3.785	1	AFR
NA19445	False	False	2	2	0	4.046	4.211	0	AFR
HG02947	False	False	3	1	0	3.881	3.93	1	AFR
NA19143	False	False	2	0	0	2.031	2.089	0	AFR
HG02471	False	False	2	2	0	4.046	4.02	0	AFR
HG03280	False	False	3	0	0	2.976	3.043	0	AFR
HG02583	False	False	2	2	0	3.868	4.021	0	AFR
NA19138	False	False	3	0	0	3.029	3.004	1	AFR
HG02771	False	True	1	3	0	3.991	4.008	0	AFR
NA19468	False	False	2	1	0	2.99	3.191	0	AFR
HG02489	False	False	3	0	0	2.895	2.954	1	AFR
HG02946	False	False	2	1	0	3.041	3.01	2	AFR
HG02716	False	False	3	1	0	3.871	4.079	2	AFR
NA19446	False	False	3	1	0	3.917	4.02	1	AFR
HG02445	False	None	None	None	None	3.837	3.496	None	AFR
NA19144	False	False	2	2	0	3.979	4.271	0	AFR
HG02449	False	False	2	1	0	2.948	2.963	0	AFR
NA19449	False	False	2	2	0	3.856	3.956	1	AFR
NA19026	False	False	4	1	0	4.866	4.998	2	AFR
HG02715	False	False	3	0	0	3.044	3.169	2	AFR
NA19017	False	False	3	0	0	2.892	3.147	2	AFR
NA19455	False	False	3	1	0	3.886	3.958	1	AFR
HG02643	False	False	2	2	0	4.002	3.744	0	AFR
HG02804	False	False	3	0	0	2.977	2.969	0	AFR
NA19020	False	False	2	1	0	2.968	2.904	1	AFR
HG02461	False	False	2	2	0	3.856	3.894	0	AFR
NA19475	False	False	4	0	0	3.976	3.903	4	AFR
NA19451	False	False	3	0	0	3.012	2.886	1	AFR
HG03120	False	False	3	1	0	3.927	4.106	1	AFR
HG02629	False	False	4	0	0	3.983	3.941	1	AFR
HG02557	False	False	None	None	0	4.015	4.004	1	AFR
NA19024	False	False	3	1	0	3.941	3.996	1	AFR
HG02450	False	False	3	1	0	3.831	4.005	1	AFR
HG02645	False	False	2	1	0	2.942	3.132	2	AFR
HG02977	False	False	2	2	0	3.854	3.942	0	AFR
NA19019	False	False	4	3	0	6.853	7.002	1	AFR
NA19454	False	False	2	1	0	2.901	2.904	1	AFR
HG02545	False	False	2	2	0	3.905	4.108	0	AFR
HG02470	False	False	2	1	0	2.893	3.039	0	AFR
HG03279	False	False	2	1	0	2.893	3.036	0	AFR
NA19452	False	False	4	0	0	4.065	4.037	2	AFR
HG02642	False	False	4	0	0	3.96	3.719	3	AFR
NA20127	False	False	2	0	0	1.964	1.88	1	AFR
NA19131	False	False	2	1	0	3.004	2.977	0	AFR
HG02799	False	False	2	2	0	3.991	4.277	0	AFR
NA19474	False	False	2	0	0	1.995	1.929	0	AFR
HG03267	False	False	2	1	0	2.945	3.194	0	AFR
NA19023	False	False	4	0	0	4.138	4.262	1	AFR
HG03108	False	False	2	1	0	2.944	2.863	1	AFR
HG02439	False	False	3	0	0	2.905	2.736	1	AFR
HG03366	False	False	4	0	0	3.95	4.003	2	AFR
HG02549	False	False	3	1	0	3.894	4.006	1	AFR
NA19456	False	True	1	2	0	2.953	3.005	0	AFR
HG02479	False	False	2	2	0	3.896	3.901	0	AFR
HG02614	False	False	None	None	0	4.94	4.876	1	AFR
HG02476	False	False	4	0	0	3.993	4.027	3	AFR
HG02952	False	False	3	1	0	4.107	4.298	2	AFR
HG02768	False	False	2	1	0	2.966	2.913	1	AFR
HG02546	False	False	3	0	0	2.979	2.842	2	AFR
HG02589	False	False	4	0	0	3.985	4.111	2	AFR
HG02505	False	False	3	0	0	2.94	3.055	1	AFR
HG02484	False	False	2	1	0	2.902	2.957	1	AFR
HG02772	False	False	2	2	0	3.943	4.028	0	AFR
HG03367	False	False	2	2	0	3.882	3.849	2	AFR
HG03118	False	False	2	2	0	4.018	3.958	0	AFR
HG02769	False	False	4	0	0	3.99	4.099	3	AFR
HG02646	False	False	4	0	0	3.928	3.888	2	AFR
HG02501	False	False	3	1	0	3.958	3.917	2	AFR
HG02976	False	False	3	1	0	3.968	3.968	1	AFR
HG02485	False	False	3	1	0	3.912	3.948	1	AFR
HG02496	False	False	3	1	0	3.949	3.935	2	AFR
NA19028	False	False	2	2	0	4.091	4.126	2	AFR
HG02481	False	False	2	0	2	3.944	1.768	0	AFR
HG02511	False	False	4	0	0	3.971	3.852	2	AFR
NA19711	False	False	2	3	0	4.886	4.837	0	AFR
HG02798	False	False	2	1	0	3.029	2.927	0	AFR
HG02502	False	False	2	1	0	3.089	2.983	0	AFR
HG03160	False	False	3	1	0	3.928	3.858	1	AFR
NA19625	False	False	2	1	0	2.903	3.067	1	AFR
HG03129	False	False	3	1	0	4.005	4.014	1	AFR
HG02675	False	False	3	1	0	4.046	4.222	2	AFR
NA19457	False	False	2	1	0	3.002	2.988	1	AFR
NA19712	False	False	3	1	0	3.999	4.071	1	AFR
NA19027	False	False	3	1	0	3.938	4.076	2	AFR
HG02555	False	False	4	0	0	3.978	3.987	1	AFR
NA19043	False	False	4	0	0	3.93	4.056	1	AFR
NA19222	False	False	3	1	0	3.927	3.811	1	AFR
HG02580	False	False	3	1	0	3.922	3.97	0	AFR
HG02666	False	False	3	1	0	3.959	4.023	1	AFR
NA19461	False	False	3	2	0	5.063	4.906	1	AFR
NA19309	False	False	3	1	0	4.002	4.377	1	AFR
NA19707	False	False	3	0	0	3.016	3.224	2	AFR
HG02477	False	False	2	2	0	3.888	3.988	0	AFR
NA19030	False	False	2	1	0	2.988	2.961	0	AFR
HG02676	False	False	2	2	0	3.992	4.023	0	AFR
HG02455	False	False	3	0	0	3.02	2.91	1	AFR
HG02568	False	False	2	1	0	3.025	3.113	0	AFR
HG02497	False	False	2	2	0	3.951	4.123	0	AFR
HG02558	False	None	None	None	0	4.107	3.73	0	AFR
NA19704	False	False	4	0	0	3.996	4.135	3	AFR
NA18874	False	False	3	0	0	2.981	3.114	1	AFR
HG02573	False	False	2	2	0	3.956	4.225	1	AFR
HG02536	False	False	3	1	0	3.847	3.829	1	AFR
HG02678	False	False	3	1	0	3.949	4.149	1	AFR
NA19700	False	False	3	0	0	3.007	2.973	2	AFR
HG02541	False	False	3	1	0	3.837	4.023	1	AFR
HG02624	False	False	2	2	0	4.004	4.061	1	AFR
HG02508	False	False	3	1	0	3.787	3.879	1	AFR
HG02554	False	False	2	2	0	3.931	4.192	0	AFR
NA19713	False	False	3	0	1	3.896	3.139	1	AFR
NA19703	False	False	2	1	0	2.886	3.037	1	AFR
HG02667	False	False	4	1	0	5.041	4.932	2	AFR
HG02805	False	False	2	2	0	3.992	3.975	1	AFR
HG02760	False	False	3	1	0	3.961	4.091	0	AFR
NA19312	False	False	3	1	0	4.031	3.994	0	AFR
NA19701	False	False	3	0	0	3.042	2.956	1	AFR
HG03117	False	False	2	1	0	2.911	2.912	0	AFR
NA19035	False	False	4	0	0	3.947	4.08	1	AFR
NA19307	False	False	4	0	0	4.018	3.879	1	AFR
HG02759	False	False	3	1	0	3.911	3.719	1	AFR
HG03162	False	False	4	0	0	4.033	3.932	1	AFR
HG03049	False	False	3	1	0	3.96	3.857	1	AFR
NA19310	False	False	4	1	0	4.901	4.893	0	AFR
HG02537	False	False	2	2	0	3.965	3.816	0	AFR
HG02721	False	False	2	2	0	4.042	4.015	0	AFR
HG03163	False	False	2	0	0	2.014	2.091	0	AFR
HG02870	False	False	4	1	0	4.989	5.149	0	AFR
HG03095	False	False	2	1	0	2.924	3.08	0	AFR
HG02577	False	False	2	1	0	3.055	2.852	0	AFR
