Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
HG03028	False	False	3	1	0	3.951	4.011	1	AFR
NA19239	False	False	3	1	0	3.886	3.62	1	AFR
HG01985	False	False	3	0	0	2.893	2.801	1	AFR
HG01879	False	False	2	1	0	3.086	2.781	1	AFR
HG03024	False	False	3	1	0	4.021	3.728	1	AFR
HG03166	False	False	4	0	0	4.015	3.842	1	AFR
NA19390	False	False	3	1	0	4.136	3.761	2	AFR
HG01986	False	False	2	1	0	2.997	2.861	0	AFR
HG02839	False	False	2	2	0	3.902	4.136	1	AFR
HG03240	False	False	2	2	0	3.935	3.931	1	AFR
HG01989	False	False	4	1	0	4.925	4.957	1	AFR
NA19025	False	False	3	1	0	3.958	4.141	1	AFR
NA19225	False	False	3	1	0	3.867	4.03	1	AFR
HG03157	False	False	3	0	0	3.02	3.119	1	AFR
HG01988	False	False	3	1	0	4.015	3.918	0	AFR
NA18519	False	False	4	0	0	3.935	4.024	3	AFR
NA19118	False	False	3	1	0	3.938	4.079	2	AFR
HG03175	False	False	2	1	0	3.048	3.04	0	AFR
NA19184	False	False	3	1	0	4.01	4.03	0	AFR
NA18517	False	False	4	0	0	3.894	3.894	1	AFR
HG03265	False	False	3	1	0	3.991	4.094	1	AFR
NA19380	False	False	3	1	0	3.986	3.876	1	AFR
NA19175	False	False	3	0	0	3.034	2.945	1	AFR
HG03313	False	False	3	1	0	3.933	3.895	3	AFR
HG02054	False	False	2	1	0	3.041	2.881	1	AFR
NA18516	False	False	4	0	0	3.859	4.008	1	AFR
HG02013	False	False	2	2	0	3.925	3.977	0	AFR
NA19379	False	False	2	2	0	3.894	3.913	0	AFR
HG03139	False	False	3	0	0	3.028	2.987	1	AFR
HG03040	False	False	2	1	0	3.099	3.087	0	AFR
HG03246	False	False	4	1	0	4.97	4.782	2	AFR
HG03297	False	False	3	1	0	3.965	3.864	0	AFR
HG01958	False	False	2	1	0	2.923	3.046	0	AFR
NA19037	False	False	3	1	0	4.017	3.946	1	AFR
NA18864	False	False	3	1	0	3.898	4.022	2	AFR
HG03086	False	False	4	0	0	3.937	4.039	1	AFR
NA19385	False	False	2	2	0	4.0	3.916	0	AFR
HG03241	False	False	3	1	0	3.834	4.073	1	AFR
NA18522	False	False	3	1	0	3.982	4.055	1	AFR
HG03045	False	False	3	1	0	3.997	3.959	1	AFR
HG03304	False	False	2	0	0	2.043	1.937	1	AFR
NA19038	False	False	3	3	0	5.938	5.956	0	AFR
HG03193	False	False	2	2	0	3.882	3.796	0	AFR
HG03538	False	False	3	1	0	3.935	4.002	2	AFR
NA20291	False	False	2	1	0	2.93	2.972	2	AFR
HG02095	False	False	3	1	0	3.765	3.755	2	AFR
HG03352	False	False	3	0	0	3.045	3.123	1	AFR
NA19209	False	False	2	2	0	3.979	4.09	1	AFR
HG03247	False	False	3	1	0	3.967	3.894	1	AFR
HG02896	False	False	3	1	0	3.988	4.095	2	AFR
HG03303	False	False	2	1	0	2.94	3.15	1	AFR
NA19213	False	False	2	1	0	2.966	2.825	1	AFR
NA19238	False	False	3	1	0	4.026	3.926	2	AFR
HG02820	False	False	3	1	0	4.013	3.836	1	AFR
HG02052	False	False	3	0	0	2.948	2.985	2	AFR
HG03082	False	False	3	1	0	3.977	3.607	2	AFR
HG03048	False	False	2	2	0	3.905	4.014	0	AFR
NA19383	False	False	2	2	0	3.931	3.99	0	AFR
NA20294	False	False	3	1	0	4.029	3.938	1	AFR
HG02256	False	False	2	2	0	3.938	3.907	0	AFR
HG03046	False	False	2	1	0	2.998	3.2	0	AFR
HG03091	False	False	3	2	0	5.044	5.075	1	AFR
NA19384	False	False	3	1	0	3.892	4.079	1	AFR
HG02051	False	False	2	3	0	4.872	4.848	0	AFR
HG02317	False	False	2	2	0	3.734	3.697	0	AFR
NA18520	False	False	3	1	0	3.874	3.96	1	AFR
HG03039	False	False	2	2	0	3.987	4.079	0	AFR
HG03298	False	False	2	1	0	2.936	2.797	1	AFR
NA19391	False	False	2	2	0	4.092	3.989	2	AFR
HG01912	False	False	3	1	0	3.882	3.955	1	AFR
HG03539	False	False	2	1	0	2.953	3.005	0	AFR
HG02814	False	False	2	3	0	4.868	4.76	0	AFR
HG03311	False	False	3	1	0	3.895	3.836	1	AFR
HG02281	False	False	2	1	1	3.759	3.118	1	AFR
HG02144	False	False	3	1	0	3.786	3.705	0	AFR
HG03354	False	False	2	1	0	3.04	2.918	1	AFR
HG02464	False	False	2	2	0	3.971	4.105	1	AFR
HG02315	False	False	2	2	0	3.939	3.81	0	AFR
NA19235	False	False	4	0	0	3.972	3.988	3	AFR
HG02108	False	False	2	2	0	3.979	4.028	1	AFR
NA18865	False	False	4	0	0	4.004	3.963	1	AFR
HG02318	False	False	3	1	0	4.11	3.984	0	AFR
HG02332	False	False	2	0	0	2.059	2.063	0	AFR
HG02819	False	False	2	2	0	3.835	4.125	0	AFR
NA18505	False	False	2	2	0	3.929	4.085	1	AFR
HG03520	False	False	3	1	0	3.908	4.096	2	AFR
NA19315	False	False	2	1	0	3.024	3.062	0	AFR
NA19197	False	False	2	2	0	3.838	4.096	1	AFR
HG02314	False	False	3	0	0	2.972	2.985	1	AFR
HG03473	False	False	3	2	0	4.836	5.019	0	AFR
HG02890	False	False	2	1	0	2.976	2.942	0	AFR
NA18511	False	False	3	0	0	3.002	3.102	1	AFR
NA19185	False	False	3	1	0	3.997	3.829	2	AFR
NA18867	False	False	2	1	0	3.01	2.97	0	AFR
NA19257	False	False	2	0	0	1.978	1.982	0	AFR
NA19393	False	False	3	1	0	4.076	3.925	2	AFR
NA20299	False	False	2	1	1	4.026	3.134	0	AFR
NA19198	False	False	2	1	0	2.907	3.093	0	AFR
HG02255	False	False	3	3	0	5.866	5.954	0	AFR
NA20296	False	False	3	1	0	3.969	4.119	1	AFR
HG02854	False	False	2	1	0	2.927	2.907	0	AFR
NA18876	False	False	3	0	0	2.976	3.323	1	AFR
HG02895	False	False	3	1	0	3.848	3.793	1	AFR
HG02307	False	False	3	1	0	4.083	3.935	1	AFR
HG03363	False	False	2	2	0	3.918	4.002	0	AFR
HG02282	False	False	3	1	0	3.962	3.881	1	AFR
HG02574	False	False	2	2	0	3.871	4.106	0	AFR
HG02111	False	False	2	2	0	4.099	3.909	0	AFR
HG03518	False	False	2	0	0	1.942	1.929	0	AFR
NA19236	False	False	3	1	0	4.0	4.033	0	AFR
NA20289	False	False	4	0	0	4.001	3.862	2	AFR
HG03057	False	False	4	0	0	3.986	3.926	2	AFR
HG02053	False	False	4	0	0	4.007	4.111	2	AFR
NA20298	False	False	2	2	0	4.133	4.04	0	AFR
HG03209	False	False	3	1	0	3.895	3.956	1	AFR
NA20332	False	False	2	1	0	2.975	2.805	0	AFR
NA19818	False	False	3	0	0	2.998	2.891	1	AFR
HG01990	False	False	2	2	0	3.994	3.835	1	AFR
HG03072	False	False	2	2	0	3.891	4.085	1	AFR
NA20314	False	False	2	1	0	2.99	3.136	0	AFR
NA19819	False	False	2	1	0	2.974	3.023	0	AFR
HG02891	False	False	3	0	0	3.047	3.025	2	AFR
NA18934	False	False	2	1	0	2.932	3.063	0	AFR
HG02465	False	False	4	0	0	3.949	4.148	1	AFR
NA18523	False	False	3	1	0	3.94	3.975	0	AFR
NA19394	False	False	2	1	0	2.986	2.954	1	AFR
NA18877	False	False	2	2	0	3.995	4.091	0	AFR
HG02339	False	False	3	1	0	3.857	3.814	2	AFR
NA19247	False	False	3	1	0	3.988	4.098	1	AFR
HG03052	False	False	2	1	0	2.962	2.856	0	AFR
HG03511	False	False	3	0	0	3.043	3.055	1	AFR
NA18868	False	False	3	1	0	3.967	3.874	1	AFR
NA19922	False	False	2	2	0	3.938	4.172	0	AFR
NA18878	False	False	2	2	0	3.921	3.809	1	AFR
HG03078	False	False	2	1	0	2.985	3.187	1	AFR
HG03351	False	None	None	None	0	2.939	2.848	0	AFR
NA19397	False	False	4	0	0	3.971	4.127	1	AFR
NA19223	False	False	2	1	0	2.954	3.178	1	AFR
NA18933	False	False	3	1	0	3.96	4.027	1	AFR
HG02462	False	False	4	0	0	3.867	3.802	2	AFR
NA19395	False	False	3	3	0	5.862	6.033	0	AFR
NA20317	False	False	3	1	0	3.957	4.084	2	AFR
HG03084	False	False	3	0	0	2.907	3.047	1	AFR
HG02107	False	False	4	0	0	3.868	3.91	1	AFR
HG03088	False	False	2	1	0	2.945	2.911	0	AFR
NA19399	False	False	4	0	0	3.995	3.993	1	AFR
HG02308	False	False	3	1	0	4.043	3.924	0	AFR
NA18873	False	False	3	1	0	3.845	3.902	1	AFR
HG03521	False	False	2	1	0	2.954	3.1	1	AFR
HG03085	False	False	2	2	0	3.955	4.12	1	AFR
HG02309	False	False	2	2	0	3.992	4.014	0	AFR
HG03470	False	False	2	2	0	3.99	3.879	0	AFR
NA19900	False	False	2	1	0	2.986	3.206	1	AFR
HG03096	False	False	2	2	0	3.956	4.008	1	AFR
NA20334	False	False	2	2	0	4.008	3.987	0	AFR
HG02855	False	False	3	1	0	4.054	4.077	2	AFR
HG02283	False	False	3	0	0	2.948	2.792	0	AFR
HG03058	False	False	2	2	0	3.903	3.947	0	AFR
HG02571	False	False	3	1	0	4.047	3.855	2	AFR
NA18508	False	False	2	1	0	3.049	3.161	0	AFR
NA19901	False	False	2	0	0	1.934	2.032	1	AFR
HG03081	False	False	2	3	0	4.897	5.252	0	AFR
NA19428	False	False	2	2	0	3.929	4.104	0	AFR
NA18923	False	False	2	1	0	3.027	3.025	0	AFR
NA19923	False	False	2	1	0	3.062	2.817	0	AFR
NA19248	False	False	2	2	0	3.976	4.025	1	AFR
HG02322	False	False	4	0	0	3.969	4.062	2	AFR
HG02570	False	False	3	0	0	3.0	3.051	2	AFR
NA19401	False	False	2	2	0	3.955	3.802	0	AFR
HG02284	False	False	2	1	0	2.854	2.845	0	AFR
HG03372	False	False	2	1	0	2.954	3.097	1	AFR
NA19984	False	False	2	1	1	3.883	3.002	1	AFR
HG03397	False	False	2	2	0	3.996	4.072	0	AFR
NA19214	False	False	2	1	0	2.971	2.897	0	AFR
NA20339	False	False	3	1	0	4.04	3.964	1	AFR
NA19403	False	False	2	0	0	1.949	2.09	0	AFR
HG03410	False	False	3	1	0	3.872	4.111	0	AFR
NA19914	False	False	2	1	0	2.988	2.975	1	AFR
HG02561	False	False	2	2	0	3.878	4.183	0	AFR
HG03469	False	False	3	1	0	3.94	4.084	1	AFR
HG02334	False	False	2	2	0	3.972	3.989	1	AFR
NA19917	False	False	2	1	0	2.939	2.956	0	AFR
HG03484	False	False	4	0	0	3.974	4.023	3	AFR
NA19256	False	False	3	1	0	4.045	3.884	2	AFR
NA18917	False	False	3	1	0	3.99	4.103	1	AFR
NA19404	False	False	2	2	0	4.064	3.916	0	AFR
NA19036	False	False	4	0	0	4.006	3.905	1	AFR
HG03437	False	False	4	0	0	3.884	3.722	2	AFR
HG02330	False	False	2	2	0	3.979	4.144	1	AFR
NA18908	False	False	3	1	0	4.032	3.922	2	AFR
NA19904	False	False	3	1	0	3.983	3.933	2	AFR
NA20340	False	False	3	1	0	3.979	4.051	1	AFR
NA18910	False	False	3	1	0	3.958	4.104	1	AFR
HG02943	False	False	3	0	0	2.917	3.173	2	AFR
NA19429	False	False	4	1	0	4.79	5.051	0	AFR
HG03097	False	False	4	0	0	3.944	3.766	2	AFR
HG03464	False	False	3	1	0	3.947	3.907	1	AFR
HG03472	False	False	2	1	0	2.878	3.023	1	AFR
HG02923	False	False	2	1	0	2.966	3.115	0	AFR
HG01173	False	False	2	1	1	3.889	3.076	0	AMR
HG01893	False	True	1	3	0	3.948	3.967	0	AMR
HG01177	False	False	2	2	0	3.894	3.908	0	AMR
HG01174	False	False	2	2	0	4.0	3.913	0	AMR
HG01182	False	False	2	1	0	2.931	2.975	0	AMR
HG01187	False	False	2	2	0	3.953	3.927	0	AMR
HG01176	False	False	2	0	1	2.944	2.031	0	AMR
HG01183	False	False	2	2	0	3.91	4.033	0	AMR
HG01920	False	False	2	1	0	2.913	2.949	0	AMR
HG01950	False	False	2	2	0	3.889	3.993	0	AMR
HG01944	False	False	2	1	0	2.879	2.958	0	AMR
HG01921	False	False	2	2	0	3.896	3.793	0	AMR
HG01923	False	False	2	2	0	3.949	4.043	0	AMR
HG00554	False	False	3	0	0	3.07	2.874	0	AMR
HG01953	False	False	2	1	0	2.996	2.905	0	AMR
HG01190	False	False	2	0	2	3.965	1.945	0	AMR
HG01954	False	False	2	1	0	2.94	2.978	0	AMR
HG01188	False	False	None	None	0	2.936	2.87	0	AMR
HG01204	False	False	2	1	0	3.035	2.98	1	AMR
HG01198	False	False	2	2	0	3.962	3.981	0	AMR
HG01951	False	False	2	1	0	3.037	2.793	0	AMR
HG01947	False	False	2	1	0	2.888	2.919	0	AMR
HG01191	False	False	2	1	0	2.93	2.863	0	AMR
HG01242	False	False	3	1	0	3.778	3.935	0	AMR
HG01967	False	False	2	1	1	3.841	2.865	0	AMR
HG01092	False	False	2	2	0	3.851	3.947	2	AMR
HG01197	False	False	2	2	0	4.142	3.976	0	AMR
HG00553	False	False	2	1	0	2.946	3.02	0	AMR
HG01167	False	False	3	1	0	4.031	3.793	2	AMR
HG01927	False	False	2	1	0	3.005	2.975	0	AMR
HG01241	False	False	3	2	0	4.886	5.006	0	AMR
NA19649	False	False	2	1	1	3.976	3.095	0	AMR
HG01247	False	False	2	2	0	3.938	3.939	0	AMR
HG01077	False	False	None	None	0	4.908	4.897	0	AMR
HG01932	False	False	2	1	0	2.929	2.884	0	AMR
HG01251	False	False	2	1	0	2.957	2.824	0	AMR
HG01970	False	False	3	1	0	3.867	4.015	0	AMR
NA19664	False	False	2	2	0	4.007	4.12	0	AMR
NA19651	False	False	2	1	0	2.94	3.03	1	AMR
NA19657	False	False	2	2	0	3.831	3.61	0	AMR
HG01253	False	False	2	1	0	3.021	3.049	0	AMR
HG01455	False	True	1	2	0	2.964	2.991	0	AMR
HG01205	False	True	1	1	0	1.975	2.085	0	AMR
HG01162	False	False	2	0	2	3.902	1.978	0	AMR
HG01945	False	False	2	2	0	3.818	3.891	0	AMR
HG01973	False	False	2	1	0	2.989	2.96	0	AMR
NA19654	False	False	2	2	0	3.926	3.751	1	AMR
HG01250	False	False	2	0	0	1.96	1.991	0	AMR
HG01948	False	True	1	2	0	2.928	2.883	0	AMR
HG01063	False	False	2	2	0	4.011	3.881	0	AMR
NA19648	False	False	2	0	1	2.916	2.1	0	AMR
HG01942	False	False	2	2	0	3.893	4.078	0	AMR
NA19652	False	False	None	None	0	4.862	4.965	0	AMR
NA19669	False	False	2	2	0	3.974	3.889	0	AMR
HG01977	False	False	2	2	0	3.886	4.015	0	AMR
NA19681	False	False	2	2	0	3.954	3.793	0	AMR
HG01974	False	False	2	2	0	3.85	3.91	0	AMR
HG01064	False	False	2	2	0	3.959	3.954	0	AMR
NA19682	False	False	2	2	0	3.917	4.083	0	AMR
NA19663	False	False	2	1	0	2.948	2.841	0	AMR
HG01968	False	False	2	2	0	3.804	3.962	0	AMR
NA19655	False	False	2	2	0	3.85	3.89	0	AMR
HG01305	False	False	2	1	1	3.945	3.035	0	AMR
HG01164	False	False	2	2	0	3.928	3.894	0	AMR
NA19676	False	False	2	1	0	3.047	3.111	0	AMR
HG01171	False	False	2	2	0	3.926	3.919	0	AMR
NA19661	False	False	2	1	0	2.985	3.05	0	AMR
HG01200	False	False	2	2	0	4.0	4.002	0	AMR
HG01456	False	False	2	2	0	3.955	3.706	0	AMR
HG01161	False	False	2	1	0	2.996	2.919	0	AMR
HG01971	False	False	2	3	0	4.73	4.906	0	AMR
NA19670	False	False	2	2	0	3.998	3.816	0	AMR
HG01992	False	False	2	2	0	3.903	3.784	0	AMR
HG01489	False	False	2	2	0	3.963	3.82	0	AMR
HG01308	False	False	2	1	0	2.874	3.038	0	AMR
HG01980	False	False	2	2	0	3.803	3.932	0	AMR
HG01286	False	False	2	1	0	3.045	3.075	0	AMR
NA19658	False	False	2	1	0	3.024	3.125	0	AMR
HG01461	False	False	3	1	0	3.904	4.051	0	AMR
HG01976	False	False	2	2	0	4.03	3.732	0	AMR
NA19679	False	False	2	1	1	3.963	3.033	0	AMR
HG01462	False	False	2	2	0	4.013	4.078	0	AMR
HG01398	False	False	2	1	0	2.891	2.943	0	AMR
HG01464	False	False	2	2	0	3.892	3.953	0	AMR
HG01119	False	False	2	2	0	3.962	3.946	0	AMR
HG02008	False	False	2	2	0	3.918	4.043	0	AMR
HG01465	False	False	2	2	0	3.948	3.961	0	AMR
HG01303	False	False	3	1	1	4.684	3.575	0	AMR
HG01412	False	False	2	2	0	3.937	3.948	0	AMR
HG01979	False	False	2	2	0	3.855	4.323	0	AMR
NA19684	False	False	2	1	1	3.965	3.053	0	AMR
HG01991	False	False	3	1	0	3.856	3.905	0	AMR
HG01121	False	False	2	2	0	3.998	3.724	0	AMR
NA19716	False	False	2	2	0	3.932	4.102	0	AMR
HG01248	False	False	2	4	0	5.91	5.812	0	AMR
HG01405	False	False	2	2	0	3.955	4.028	0	AMR
HG01892	False	True	1	1	0	2.08	1.825	0	AMR
HG01131	False	False	2	2	0	4.037	3.995	0	AMR
HG01302	False	False	2	1	0	2.96	3.001	0	AMR
HG01130	False	False	2	1	0	2.96	2.989	1	AMR
HG01488	False	False	2	2	0	3.893	3.975	0	AMR
HG02090	False	False	2	0	1	3.044	2.031	0	AMR
HG01088	False	False	2	1	0	2.95	3.028	0	AMR
HG01997	False	False	2	2	0	3.878	4.002	0	AMR
HG01492	False	False	2	2	0	4.05	3.986	0	AMR
HG00731	False	False	2	1	1	3.898	2.87	0	AMR
HG01312	False	False	2	2	0	3.897	3.777	0	AMR
HG02003	False	False	2	2	0	3.903	3.935	0	AMR
HG01325	False	False	2	1	0	2.934	2.945	0	AMR
NA19717	False	False	2	1	0	2.956	2.932	0	AMR
HG02002	False	False	2	1	0	3.005	2.998	0	AMR
HG01311	False	False	2	1	0	2.933	2.88	0	AMR
HG01362	False	False	2	2	0	3.993	4.016	0	AMR
HG01393	False	False	2	3	0	4.954	5.08	0	AMR
HG01269	False	False	2	2	0	4.003	3.822	0	AMR
HG01323	False	False	2	2	0	3.91	3.958	0	AMR
HG01363	False	False	3	1	0	3.849	4.005	0	AMR
HG01495	False	False	3	0	0	2.872	2.808	0	AMR
HG02089	False	False	3	2	0	4.867	4.855	0	AMR
HG01372	False	False	2	1	0	2.997	3.061	0	AMR
HG01054	False	False	2	1	0	3.014	3.107	0	AMR
HG01284	False	False	2	1	0	3.044	2.967	0	AMR
HG01280	False	False	2	2	0	3.988	4.002	0	AMR
NA19719	False	False	2	1	0	2.945	3.016	0	AMR
HG02105	False	False	2	2	0	3.92	3.888	0	AMR
HG01392	False	False	2	2	0	4.029	3.877	0	AMR
HG01122	False	False	3	1	0	3.974	3.964	0	AMR
HG01494	False	False	2	2	0	4.009	4.037	0	AMR
NA19722	False	False	2	2	0	3.925	3.885	0	AMR
HG02104	False	False	2	1	0	3.002	3.047	0	AMR
HG01498	False	False	2	1	0	3.009	3.13	0	AMR
NA19725	False	False	2	1	0	2.928	2.887	0	AMR
HG01432	False	False	2	1	0	2.968	2.935	0	AMR
NA19723	False	False	2	2	0	3.958	3.671	0	AMR
HG01413	False	False	2	2	0	3.926	3.943	0	AMR
HG01142	False	False	2	2	0	3.937	4.03	0	AMR
HG01326	False	False	2	2	0	3.942	3.928	0	AMR
HG00734	False	False	2	2	0	3.864	4.188	0	AMR
HG00743	False	False	2	0	1	3.007	1.995	0	AMR
HG01281	False	False	2	2	0	3.922	3.937	0	AMR
NA19728	False	False	2	2	0	3.845	3.68	0	AMR
HG00736	False	False	2	1	0	2.914	3.144	0	AMR
NA19729	False	False	2	1	0	2.989	2.778	0	AMR
HG01089	False	False	2	1	0	2.92	2.94	0	AMR
HG01459	False	False	2	1	0	2.97	3.077	0	AMR
NA19726	False	False	2	1	0	2.913	2.956	0	AMR
HG01403	False	False	2	2	0	4.009	4.06	0	AMR
HG01497	False	False	2	1	1	3.806	3.148	0	AMR
HG00732	False	False	2	3	0	4.981	5.085	0	AMR
HG01402	False	False	2	1	0	2.876	2.93	0	AMR
HG01047	False	False	2	2	0	3.84	3.892	0	AMR
HG01431	False	False	2	1	0	2.872	2.789	0	AMR
HG01396	False	False	2	1	1	3.923	2.953	0	AMR
HG00740	False	False	2	2	0	3.888	3.929	0	AMR
NA19720	False	False	2	2	0	3.972	3.853	0	AMR
HG01414	False	False	2	2	0	3.879	3.927	0	AMR
HG01435	False	False	2	2	0	3.964	3.863	0	AMR
HG00739	False	False	2	2	0	3.835	3.897	0	AMR
NA19731	False	False	2	2	0	4.002	4.082	0	AMR
NA19678	False	False	2	1	1	3.926	3.023	0	AMR
HG01395	False	False	2	2	0	3.925	3.883	0	AMR
HG01444	False	False	2	1	0	2.965	3.095	0	AMR
HG02286	False	False	2	1	0	2.987	3.105	0	AMR
HG01443	False	False	2	1	1	3.92	2.906	0	AMR
HG01055	False	False	2	1	1	3.866	2.849	0	AMR
NA19732	False	False	2	2	0	3.988	4.099	0	AMR
HG01474	False	False	2	2	0	4.011	4.085	0	AMR
HG01058	False	False	2	1	0	2.958	2.999	0	AMR
HG00737	False	False	2	2	0	3.967	4.086	0	AMR
HG02301	False	False	2	2	0	3.896	4.008	0	AMR
HG01079	False	False	2	1	0	3.004	3.096	0	AMR
HG01256	False	False	2	2	0	3.966	3.995	0	AMR
NA19756	False	False	2	1	1	3.817	2.834	0	AMR
HG02285	False	False	3	1	0	3.949	3.749	0	AMR
HG01479	False	False	2	1	1	3.982	2.976	0	AMR
NA19749	False	False	3	1	0	3.945	4.082	0	AMR
HG01961	False	None	None	None	0	3.85	3.655	0	AMR
NA19747	False	False	2	1	0	2.916	2.914	0	AMR
HG01468	False	False	2	1	0	2.892	3.035	0	AMR
NA19755	False	False	2	0	0	2.007	1.962	0	AMR
NA19746	False	False	2	1	0	2.975	3.003	0	AMR
NA19750	False	False	2	1	1	3.8	2.932	0	AMR
HG01491	False	False	2	2	0	3.855	3.939	0	AMR
HG01572	False	False	2	2	0	3.86	3.959	0	AMR
HG01272	False	False	2	2	0	3.901	3.863	0	AMR
HG01486	False	False	2	2	0	3.969	4.001	0	AMR
HG00742	False	False	2	3	0	4.998	4.898	0	AMR
HG01066	False	False	2	2	0	3.933	4.115	0	AMR
HG01485	False	False	2	1	1	4.003	3.01	0	AMR
HG01080	False	False	2	1	0	2.955	2.959	0	AMR
HG01571	False	False	2	1	0	2.98	2.927	0	AMR
HG01556	False	False	2	2	0	3.924	4.013	1	AMR
HG01447	False	False	3	2	0	4.775	4.853	0	AMR
HG01277	False	False	2	2	0	3.936	4.054	0	AMR
HG01369	False	False	2	2	0	3.928	3.912	0	AMR
HG01345	False	False	2	0	0	1.984	2.078	0	AMR
HG01926	False	False	2	2	0	4.014	4.012	0	AMR
HG01271	False	False	2	2	0	3.939	3.872	0	AMR
HG01275	False	False	2	2	0	3.965	3.929	0	AMR
HG01577	False	False	2	2	0	4.007	3.973	0	AMR
HG01384	False	False	2	2	0	3.847	3.752	0	AMR
HG01566	False	False	2	2	0	3.917	4.144	0	AMR
HG01357	False	False	2	1	0	2.853	2.929	0	AMR
HG01965	False	False	3	2	0	4.911	5.184	0	AMR
HG01051	False	False	2	2	0	3.921	3.903	0	AMR
HG01257	False	False	2	2	0	4.019	4.177	0	AMR
HG01917	False	False	2	2	0	3.906	3.733	0	AMR
NA19761	False	None	None	None	1	3.996	3.087	0	AMR
HG01259	False	False	2	2	0	3.855	3.952	0	AMR
HG01938	False	False	2	1	0	3.014	3.074	0	AMR
HG01097	False	False	2	1	1	3.883	2.986	0	AMR
HG01341	False	False	2	1	0	2.936	3.056	0	AMR
HG02266	False	False	2	0	0	1.958	2.112	0	AMR
NA19758	False	False	2	1	0	2.98	2.832	0	AMR
HG01254	False	False	2	2	0	3.98	4.142	0	AMR
HG01098	False	False	2	1	1	4.018	2.957	0	AMR
HG02006	False	False	2	1	0	2.897	2.86	0	AMR
NA19759	False	False	2	1	0	2.934	3.165	0	AMR
HG01936	False	False	2	1	1	3.943	2.928	0	AMR
HG01375	False	False	2	2	0	3.834	3.818	0	AMR
HG01067	False	False	2	1	0	3.006	3.023	0	AMR
HG01377	False	False	3	0	1	3.881	2.888	0	AMR
HG01049	False	False	3	0	1	3.985	3.026	1	AMR
HG02253	False	False	2	2	0	3.975	4.069	0	AMR
HG01918	False	False	2	2	0	4.023	3.955	0	AMR
HG01356	False	False	2	2	0	3.906	3.994	0	AMR
NA19771	False	False	2	2	0	3.881	4.023	0	AMR
HG01260	False	False	2	3	0	4.981	5.157	0	AMR
HG02102	False	False	2	2	0	3.883	4.17	0	AMR
HG01342	False	False	2	1	0	3.054	2.993	0	AMR
NA19774	False	False	2	1	0	3.034	2.929	1	AMR
HG01344	False	False	2	0	0	2.006	2.037	0	AMR
HG02312	False	False	2	1	0	2.925	2.933	0	AMR
HG01941	False	False	2	0	0	1.916	2.046	0	AMR
HG02345	False	False	2	2	0	3.894	3.902	0	AMR
HG01383	False	False	2	0	0	1.933	1.993	0	AMR
HG02265	False	True	1	2	0	2.949	2.906	0	AMR
HG01565	False	False	2	2	0	3.969	3.869	0	AMR
HG01350	False	False	2	2	0	3.934	3.973	0	AMR
HG02304	False	False	2	2	0	3.968	3.939	0	AMR
HG01933	False	False	2	0	1	2.956	2.154	0	AMR
HG01351	False	False	3	1	0	3.932	3.99	0	AMR
HG02150	False	False	2	2	0	3.891	3.775	0	AMR
HG01924	False	False	2	1	0	2.963	3.002	0	AMR
HG01048	False	False	2	2	0	4.066	4.112	0	AMR
HG01440	False	False	3	0	1	3.968	2.886	1	AMR
HG01578	False	False	2	1	0	2.897	3.046	0	AMR
HG02348	False	False	3	1	0	3.793	3.87	0	AMR
HG01359	False	False	2	1	0	2.929	2.93	0	AMR
NA19770	False	False	2	2	0	3.896	3.981	0	AMR
HG01935	False	False	2	2	0	3.874	3.944	0	AMR
HG02274	False	False	3	0	0	3.036	2.988	1	AMR
HG01438	False	False	2	2	0	3.968	3.905	0	AMR
HG02275	False	False	2	2	0	4.02	3.809	0	AMR
HG01072	False	False	2	0	1	2.897	2.033	0	AMR
HG01366	False	False	2	1	0	2.93	2.968	0	AMR
NA19773	False	False	2	2	0	3.926	4.105	0	AMR
HG01389	False	False	2	2	0	3.958	4.042	0	AMR
NA19776	False	False	2	2	0	3.961	4.01	0	AMR
NA19779	False	False	2	2	0	3.842	3.73	0	AMR
HG00638	False	False	2	2	0	3.91	3.993	0	AMR
HG01441	False	False	2	2	0	3.837	3.903	0	AMR
HG01070	False	False	2	2	0	3.984	3.97	0	AMR
HG02252	False	None	None	None	0	3.907	4.03	0	AMR
HG02425	False	False	2	3	0	4.918	4.896	0	AMR
HG01085	False	True	1	2	0	2.972	2.971	0	AMR
HG01390	False	False	3	0	1	4.028	3.009	2	AMR
HG01437	False	False	2	2	0	3.929	3.808	0	AMR
HG01052	False	False	2	2	0	4.025	3.954	0	AMR
HG01374	False	False	2	2	0	3.892	4.02	0	AMR
HG01061	False	False	2	3	0	4.855	4.923	0	AMR
NA19780	False	False	2	2	0	3.868	4.016	0	AMR
NA19777	False	False	2	2	0	3.852	4.02	0	AMR
HG01939	False	False	2	1	0	2.938	3.038	0	AMR
HG02262	False	False	2	3	0	4.693	4.921	0	AMR
HG01348	False	False	2	2	0	3.94	3.902	0	AMR
HG01104	False	False	2	1	0	2.956	2.98	0	AMR
NA19783	False	False	2	2	0	3.964	3.986	0	AMR
HG01075	False	False	3	1	0	4.004	3.928	0	AMR
HG01060	False	False	2	2	0	3.982	4.055	0	AMR
HG01354	False	False	2	2	0	3.905	3.955	0	AMR
